Edad	Apariciones	Victorias	Derrotas	Goles	Goles_de_cabeza	Goles_con_pie_derecho	Goles_con_pie_izquierdo	Tiros_al_palo	Entradas	Éxito_entradas_%	Disparos_bloqueados	Intercepciones	Despejes	Despejes_de_cabeza	Recuperaciones	Duelos_ganados	Duelos_perdidos	Duelos_50_50_exitosos	Duelos_aéreos_ganados	Duelos_aéreos_perdidos	Asistencias	Pases	Pases_por_partido	Ocasiones_claras_creadas	Centros	Tarjetas_amarillas	Faltas	Fueras_de_juego	Cluster	PCA1	PCA2
25.0	25	7	13	0	0.0	0.0	0.0	0.0	74.0	58.0	2.0	49.0	62.0	26.0	104.0	164.0	172.0	23.0	48.0	68.0	2	749	29.96	1.0	91.0	7	36	2.0	0	-1.9091564489147563	0.22883586381002574
33.0	183	48	91	6	4.0	2.0	0.0	4.0	267.0	77.0	19.0	246.0	342.0	162.0	909.0	960.0	866.0	128.0	444.0	410.0	13	6628	36.22	19.0	916.0	12	152	13.0	2	6.073746070826693	1.1236829428795585
25.0	18	3	11	1	0.0	1.0	0.0	0.0	21.0	43.0	2.0	20.0	94.0	51.0	109.0	138.0	77.0	9.0	100.0	35.0	0	799	44.39	1.0	0.0	3	24	1.0	0	-2.316970425615974	0.42159557102355977
27.0	51	13	27	2	0.0	0.0	2.0	0.0	30.0	83.0	1.0	49.0	253.0	111.0	270.0	162.0	113.0	18.0	96.0	69.0	3	1961	38.45	2.0	10.0	8	30	2.0	0	-1.1315017345415859	0.7355027783497138
23.0	1	1	0	0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	4.0	1.0	5.0	1.0	2.0	0.0	0.0	2.0	0	56	56.0	0.0	6.0	1	0	0.0	0	-3.3906367329796563	-0.10483232652992686
22.0	37	10	20	3	0.0	2.0	1.0	0.0	46.0	52.0	17.0	36.0	47.0	18.0	211.0	150.0	163.0	36.0	31.0	36.0	2	1300	35.14	3.0	25.0	8	51	0.0	0	-1.6764837669235542	-0.23007570397372726
25.0	29	7	15	3	0.0	0.0	3.0	2.0	53.0	66.0	12.0	26.0	15.0	6.0	157.0	193.0	185.0	53.0	19.0	35.0	3	759	26.17	3.0	67.0	4	38	0.0	0	-1.6204427882091132	-0.592995719876354
29.0	13	4	8	0	0.0	0.0	0.0	0.0	7.0	43.0	1.0	1.0	2.0	0.0	14.0	10.0	16.0	0.0	2.0	6.0	0	115	8.85	0.0	2.0	1	5	1.0	0	-3.0636683920412007	-0.09523498763901765
25.0	71	17	42	9	0.0	6.0	3.0	2.0	45.0	71.0	33.0	44.0	17.0	6.0	293.0	419.0	293.0	122.0	29.0	42.0	7	2098	29.55	12.0	202.0	9	47	6.0	3	0.30657790472668134	-1.6154496858919463
26.0	29	7	16	0	0.0	0.0	0.0	0.0	55.0	51.0	0.0	39.0	32.0	7.0	155.0	115.0	110.0	14.0	23.0	29.0	0	782	26.97	0.0	4.0	5	26	0.0	0	-2.3306821650781613	0.24926990373932348
29.0	28	8	13	3	0.0	0.0	3.0	1.0	16.0	63.0	13.0	9.0	27.0	10.0	73.0	54.0	50.0	4.0	14.0	9.0	5	665	23.75	8.0	124.0	4	15	4.0	0	-1.8921888277011754	-0.793350653973559
25.0	35	9	19	6	0.0	5.0	1.0	2.0	40.0	45.0	22.0	27.0	14.0	9.0	80.0	134.0	175.0	30.0	32.0	48.0	1	388	11.09	0.0	73.0	2	39	6.0	0	-1.6637095290831636	-0.8608141323210875
25.0	34	7	19	4	0.0	4.0	0.0	2.0	20.0	55.0	11.0	13.0	12.0	6.0	75.0	97.0	151.0	29.0	31.0	57.0	4	479	14.09	4.0	107.0	3	20	12.0	0	-1.7032337570391631	-0.9645774408993479
29.0	10	2	7	0	0.0	0.0	0.0	0.0	3.0	33.0	4.0	3.0	5.0	1.0	26.0	13.0	25.0	7.0	1.0	2.0	1	93	9.3	1.0	2.0	0	6	0.0	0	-3.0793469045326707	-0.18882247073351258
19.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.879179966844998	-0.42796535679679
22.0	2	1	1	0	0.0	0.0	0.0	0.0	2.0	100.0	0.0	2.0	2.0	1.0	5.0	8.0	5.0	1.0	4.0	3.0	0	101	50.5	0.0	1.0	0	2	0.0	0	-3.0571713204017854	0.037564307576482395
19.0	11	4	4	0	0.0	0.0	0.0	0.0	12.0	83.0	2.0	23.0	16.0	8.0	41.0	57.0	51.0	17.0	5.0	10.0	2	243	22.09	4.0	27.0	3	16	0.0	0	-2.889582550020539	-0.26129623231467636
28.0	112	28	49	6	3.0	3.0	0.0	1.0	151.0	56.0	16.0	173.0	547.0	304.0	725.0	560.0	362.0	15.0	345.0	192.0	5	5364	47.89	3.0	10.0	21	80	1.0	3	2.1834422751026565	2.716185044594974
25.0	33	8	13	3	2.0	1.0	0.0	0.0	33.0	55.0	3.0	48.0	112.0	55.0	184.0	179.0	108.0	14.0	114.0	68.0	1	2001	60.64	2.0	6.0	4	14	0.0	0	-1.584232789541978	0.7727338712521433
25.0	36	9	16	0	0.0	0.0	0.0	0.0	89.0	66.0	5.0	40.0	86.0	49.0	169.0	212.0	109.0	22.0	75.0	38.0	1	1115	30.97	3.0	48.0	5	20	6.0	0	-1.7721813251647383	0.2430845694222289
28.0	44	11	19	0	0.0	0.0	0.0	1.0	73.0	64.0	5.0	51.0	203.0	129.0	175.0	270.0	191.0	19.0	165.0	68.0	0	1792	40.73	2.0	51.0	5	38	3.0	0	-1.1226767057504805	0.9636303031964087
28.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.5453985630935474	-0.24561710021174712
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
18.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.916266789484048	-0.448226274195128
31.0	99	24	45	1	0.0	0.0	1.0	1.0	261.0	63.0	16.0	167.0	152.0	90.0	724.0	402.0	445.0	35.0	73.0	75.0	5	4785	48.33	4.0	6.0	20	136	0.0	3	1.2614912354678356	1.1194285241490365
24.0	52	13	26	1	0.0	1.0	0.0	1.0	115.0	63.0	11.0	57.0	48.0	23.0	239.0	285.0	261.0	79.0	48.0	49.0	0	1441	27.71	1.0	14.0	9	74	2.0	0	-1.0883214142481996	0.09749511854034437
21.0	9	3	2	0	0.0	0.0	0.0	0.0	9.0	56.0	3.0	1.0	1.0	0.0	15.0	17.0	22.0	2.0	3.0	5.0	0	98	10.89	0.0	23.0	0	4	1.0	0	-3.335587437937884	-0.28747062075759305
29.0	93	20	42	12	2.0	9.0	1.0	1.0	101.0	50.0	29.0	37.0	48.0	15.0	313.0	216.0	387.0	21.0	49.0	123.0	15	2937	31.58	35.0	522.0	7	67	22.0	3	1.5609632415260564	-2.3044051606897553
32.0	198	98	50	30	1.0	12.0	15.0	8.0	322.0	75.0	91.0	166.0	126.0	49.0	839.0	886.0	1078.0	209.0	120.0	249.0	28	6407	32.36	25.0	489.0	17	142	57.0	1	8.033868181604566	-4.941395285849524
26.0	92	21	42	2	1.0	0.0	1.0	2.0	140.0	56.0	31.0	62.0	66.0	24.0	345.0	372.0	456.0	116.0	52.0	124.0	7	1971	21.42	13.0	329.0	6	70	15.0	3	0.6989214758609985	-1.044718375302886
29.0	100	24	44	2	1.0	1.0	0.0	2.0	187.0	57.0	22.0	151.0	134.0	54.0	673.0	456.0	472.0	112.0	112.0	89.0	7	4384	43.84	7.0	67.0	8	105	3.0	3	1.2790768925187164	0.40636853545824075
21.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.8050063215668977	-0.3874435220001137
21.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.8050063215668977	-0.3874435220001137
19.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.879179966844998	-0.42796535679679
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
31.0	172	49	83	2	0.0	1.0	1.0	0.0	415.0	66.0	6.0	317.0	697.0	296.0	732.0	796.0	601.0	95.0	198.0	147.0	12	5463	31.76	18.0	428.0	35	144	1.0	3	4.3245826333638915	2.0432167937651404
27.0	74	23	33	0	0.0	0.0	0.0	0.0	111.0	50.0	1.0	86.0	186.0	105.0	377.0	411.0	285.0	68.0	144.0	104.0	2	2249	30.39	3.0	238.0	8	39	3.0	0	-0.34551725771890257	0.7518633895574144
27.0	123	48	50	5	1.0	1.0	2.0	1.0	202.0	59.0	13.0	166.0	691.0	412.0	472.0	861.0	442.0	34.0	540.0	233.0	3	3839	31.21	7.0	15.0	24	119	12.0	3	2.950927179898143	3.0123670214049723
31.0	166	49	77	4	3.0	1.0	0.0	4.0	240.0	60.0	13.0	260.0	1082.0	652.0	911.0	986.0	624.0	35.0	609.0	399.0	4	6088	36.67	7.0	70.0	36	118	6.0	2	5.42467246435022	5.0448834506671405
32.0	194	61	79	1	0.0	0.0	1.0	0.0	538.0	73.0	11.0	354.0	620.0	312.0	899.0	1142.0	892.0	63.0	324.0	230.0	11	6880	35.46	17.0	455.0	34	300	5.0	2	5.985722440987831	2.787718949568527
35.0	300	100	130	7	0.0	6.0	1.0	2.0	728.0	78.0	56.0	423.0	1081.0	382.0	1154.0	1395.0	990.0	104.0	302.0	284.0	5	9247	30.82	17.0	660.0	78	327	5.0	2	9.893625457795963	3.284051979817651
30.0	35	8	14	1	1.0	0.0	0.0	1.0	63.0	68.0	6.0	34.0	214.0	119.0	130.0	236.0	160.0	3.0	139.0	105.0	3	1038	29.66	4.0	2.0	1	28	1.0	0	-1.2981505806493752	0.9133410058947387
22.0	1	0	1	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	4.0	3.0	9.0	2.0	0.0	7.0	0.0	0	25	25.0	0.0	0.0	0	1	0.0	0	-3.5185974740448644	-0.17064153900961168
19.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.879179966844998	-0.42796535679679
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
31.0	264	96	105	8	3.0	3.0	2.0	2.0	466.0	71.0	43.0	400.0	477.0	207.0	1565.0	1312.0	1335.0	184.0	393.0	479.0	9	11059	41.89	11.0	151.0	32	211	13.0	2	8.56801454854592	2.636097776777035
29.0	96	28	44	7	2.0	0.0	5.0	8.0	93.0	61.0	32.0	91.0	90.0	33.0	386.0	313.0	369.0	63.0	93.0	115.0	17	1750	18.23	12.0	439.0	5	41	6.0	3	1.4078246931037077	-1.5919357182163225
24.0	11	5	3	0	0.0	0.0	0.0	0.0	15.0	53.0	3.0	19.0	17.0	8.0	52.0	52.0	42.0	8.0	21.0	20.0	0	368	33.45	0.0	3.0	2	8	0.0	0	-2.8973756335557823	0.05335614482746359
28.0	142	37	77	9	0.0	2.0	7.0	7.0	241.0	73.0	54.0	136.0	214.0	97.0	578.0	596.0	572.0	129.0	136.0	111.0	12	3280	23.1	23.0	724.0	15	117	13.0	3	3.8341351134623296	-2.0372663094607573
30.0	222	65	106	9	0.0	9.0	0.0	1.0	336.0	68.0	48.0	321.0	241.0	62.0	1309.0	586.0	616.0	36.0	94.0	124.0	25	9880	44.5	39.0	657.0	38	195	2.0	3	6.067382022780787	-0.6393951032045515
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
27.0	80	45	21	5	5.0	0.0	0.0	1.0	93.0	59.0	15.0	72.0	252.0	139.0	522.0	341.0	289.0	15.0	199.0	153.0	1	5738	71.72	5.0	18.0	14	73	3.0	3	0.9097370854098752	1.7514294439419034
29.0	140	87	32	20	4.0	2.0	14.0	11.0	288.0	68.0	63.0	215.0	369.0	184.0	831.0	800.0	639.0	90.0	286.0	213.0	12	6434	45.96	17.0	428.0	25	125	16.0	3	6.029016583425471	-1.1755636189402956
24.0	59	29	18	0	0.0	0.0	0.0	2.0	76.0	51.0	3.0	74.0	193.0	107.0	300.0	254.0	143.0	10.0	145.0	97.0	0	3213	54.46	2.0	0.0	6	35	1.0	0	-0.9736404474188824	1.0464595474824514
25.0	143	60	49	5	4.0	1.0	0.0	2.0	160.0	69.0	13.0	225.0	653.0	352.0	574.0	681.0	328.0	50.0	413.0	163.0	4	5767	40.33	2.0	20.0	10	87	6.0	3	2.5572830830210496	2.9641441185656614
20.0	26	15	8	1	0.0	1.0	0.0	1.0	43.0	67.0	6.0	26.0	27.0	13.0	108.0	137.0	121.0	31.0	42.0	44.0	3	1104	42.46	6.0	120.0	1	24	1.0	0	-2.0466960446583444	-0.3353762575022638
31.0	272	158	56	8	2.0	6.0	0.0	1.0	722.0	73.0	29.0	475.0	788.0	416.0	1376.0	1400.0	977.0	69.0	475.0	375.0	31	15647	57.53	32.0	577.0	23	240	10.0	2	9.797716742207392	2.795658741991255
22.0	17	9	5	1	0.0	1.0	0.0	0.0	32.0	53.0	1.0	24.0	53.0	26.0	102.0	81.0	49.0	9.0	34.0	29.0	0	1193	70.18	0.0	4.0	3	8	1.0	0	-2.4711781341050054	0.27294110384247866
26.0	30	11	14	0	0.0	0.0	0.0	1.0	43.0	58.0	6.0	28.0	31.0	17.0	104.0	122.0	74.0	27.0	25.0	21.0	1	1285	42.83	3.0	97.0	3	15	2.0	0	-2.045657181278878	-0.07112274376385455
23.0	99	40	36	4	0.0	1.0	3.0	1.0	157.0	63.0	10.0	117.0	261.0	148.0	529.0	637.0	542.0	111.0	261.0	189.0	9	4540	45.86	12.0	337.0	10	81	8.0	3	1.8324849885866525	0.3292533184484926
36.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.248703981981147	-0.0835297610250422
20.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.842093144205948	-0.40770443939845186
27.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.582485385732597	-0.2658780176100851
28.0	70	37	18	7	0.0	7.0	0.0	0.0	147.0	54.0	9.0	130.0	64.0	29.0	533.0	256.0	306.0	28.0	29.0	60.0	3	5482	78.31	12.0	12.0	18	63	0.0	3	0.427585942841323	0.25222029063004825
29.0	166	98	35	10	0.0	6.0	4.0	0.0	540.0	65.0	46.0	420.0	184.0	77.0	1320.0	922.0	920.0	190.0	123.0	204.0	10	8952	53.93	15.0	86.0	22	218	7.0	3	5.788136008053376	0.4549641044112136
26.0	202	91	59	25	2.0	16.0	7.0	10.0	172.0	73.0	145.0	76.0	108.0	85.0	755.0	973.0	1048.0	376.0	170.0	168.0	27	7686	38.05	32.0	322.0	18	155	19.0	1	7.705053709289213	-4.613677699628665
24.0	78	35	22	9	2.0	6.0	1.0	1.0	54.0	69.0	27.0	44.0	41.0	27.0	266.0	355.0	337.0	131.0	65.0	93.0	6	1854	23.77	7.0	16.0	1	39	6.0	3	-0.038303861086298956	-0.8563071417844742
26.0	64	34	16	1	0.0	1.0	0.0	1.0	108.0	62.0	24.0	30.0	34.0	17.0	300.0	320.0	222.0	120.0	19.0	27.0	5	3398	53.09	4.0	16.0	11	40	0.0	0	-0.5631557726133072	-0.23125390148090622
21.0	39	20	13	7	0.0	7.0	0.0	3.0	43.0	44.0	28.0	18.0	19.0	7.0	151.0	136.0	211.0	44.0	10.0	48.0	5	1312	33.64	8.0	138.0	3	40	4.0	0	-1.174744820435365	-1.3452514654474916
22.0	25	13	9	9	2.0	4.0	3.0	1.0	23.0	48.0	15.0	6.0	7.0	4.0	79.0	128.0	190.0	55.0	20.0	45.0	4	668	26.72	6.0	35.0	0	14	3.0	0	-1.679668225725166	-1.053279029677277
19.0	6	5	0	0	0.0	0.0	0.0	0.0	5.0	40.0	0.0	3.0	2.0	1.0	15.0	10.0	16.0	2.0	2.0	5.0	0	172	28.67	0.0	1.0	0	3	0.0	0	-3.4575586733573274	-0.20943655839266154
21.0	2	1	1	0	0.0	0.0	0.0	0.0	3.0	67.0	0.0	0.0	1.0	1.0	10.0	6.0	9.0	1.0	2.0	2.0	0	41	20.5	0.0	1.0	0	2	1.0	0	-3.364967530327371	-0.19983264354627642
19.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.879179966844998	-0.42796535679679
30.0	201	66	95	4	2.0	1.0	1.0	2.0	483.0	80.0	25.0	368.0	796.0	450.0	1013.0	1218.0	812.0	102.0	406.0	246.0	5	6449	32.08	9.0	407.0	28	202	4.0	2	6.272506845051738	3.4608528404827705
30.0	191	57	92	20	0.0	4.0	16.0	5.0	350.0	69.0	51.0	326.0	439.0	170.0	1126.0	680.0	566.0	184.0	69.0	88.0	14	6833	35.77	25.0	388.0	19	94	27.0	3	6.055306548507993	-2.2487765502092416
31.0	263	84	116	12	7.0	3.0	2.0	6.0	447.0	70.0	26.0	443.0	2029.0	929.0	989.0	1442.0	817.0	25.0	823.0	473.0	7	8210	31.22	8.0	51.0	46	167	7.0	2	9.552957727527161	7.4316140403761946
33.0	227	74	95	15	9.0	4.0	2.0	6.0	291.0	59.0	29.0	343.0	1536.0	661.0	785.0	1016.0	698.0	46.0	612.0	441.0	11	6399	28.19	11.0	24.0	34	145	10.0	2	7.736746341434629	5.104312850951746
30.0	125	52	43	3	1.0	1.0	1.0	3.0	144.0	72.0	4.0	200.0	697.0	440.0	847.0	534.0	348.0	49.0	298.0	223.0	2	5917	47.34	2.0	6.0	6	39	1.0	3	2.228428721881077	3.041634529267767
34.0	374	166	126	27	9.0	13.0	4.0	5.0	471.0	75.0	63.0	452.0	2849.0	1155.0	1441.0	1946.0	1036.0	70.0	1157.0	562.0	10	12718	34.01	8.0	23.0	38	266	3.0	2	13.938894155225848	8.926906146097162
30.0	153	55	62	0	0.0	0.0	0.0	2.0	335.0	75.0	8.0	153.0	641.0	312.0	509.0	646.0	518.0	32.0	240.0	192.0	5	3820	24.97	2.0	210.0	14	117	1.0	3	2.424126693822566	2.474460584143955
21.0	6	2	3	0	0.0	0.0	0.0	0.0	15.0	53.0	0.0	3.0	5.0	0.0	17.0	19.0	26.0	1.0	0.0	9.0	0	132	22.0	0.0	5.0	1	2	0.0	0	-3.315309601932187	-0.15755294903532072
26.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.6195722083716473	-0.28613893500842325
22.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.767919498927848	-0.36718260460177576
25.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.6566590310106974	-0.3063998524067615
29.0	121	41	53	27	0.0	27.0	0.0	5.0	264.0	64.0	41.0	227.0	202.0	91.0	736.0	597.0	597.0	56.0	167.0	137.0	4	5573	46.06	8.0	376.0	34	207	2.0	3	4.551258255248881	-0.8404379652134081
